,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
96,536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,0.42,14688.0,United Kingdom
178,536387,79321,CHILLI LIGHTS,192,2010-12-01 09:58:00,3.82,16029.0,United Kingdom
179,536387,22780,LIGHT GARLAND BUTTERFILES PINK,192,2010-12-01 09:58:00,3.37,16029.0,United Kingdom
180,536387,22779,WOODEN OWLS LIGHT GARLAND ,192,2010-12-01 09:58:00,3.37,16029.0,United Kingdom
181,536387,22466,FAIRY TALE COTTAGE NIGHTLIGHT,432,2010-12-01 09:58:00,1.45,16029.0,United Kingdom
182,536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,1.25,16029.0,United Kingdom
217,536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,2010-12-01 10:19:00,0.64,17511.0,United Kingdom
219,536390,20668,DISCO BALL CHRISTMAS DECORATION,288,2010-12-01 10:19:00,0.1,17511.0,United Kingdom
227,536390,21786,POLKADOT RAIN HAT ,144,2010-12-01 10:19:00,0.32,17511.0,United Kingdom
415,536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,2010-12-01 11:32:00,2.55,14045.0,United Kingdom
728,536437,21154,RED RETROSPOT OVEN GLOVE ,200,2010-12-01 12:12:00,1.06,13694.0,United Kingdom
730,536437,17021,NAMASTE SWAGAT INCENSE,600,2010-12-01 12:12:00,0.24,13694.0,United Kingdom
870,536477,21137,BLACK RECORD COVER FRAME,480,2010-12-01 12:27:00,3.39,16210.0,United Kingdom
876,536477,22595,CHRISTMAS GINGHAM HEART,144,2010-12-01 12:27:00,0.72,16210.0,United Kingdom
877,536477,22593,CHRISTMAS GINGHAM STAR,144,2010-12-01 12:27:00,0.72,16210.0,United Kingdom
938,536508,21326,AGED GLASS SILVER T-LIGHT HOLDER,144,2010-12-01 12:38:00,0.55,17181.0,United Kingdom
2303,536575,21232,STRAWBERRY CERAMIC TRINKET BOX,144,2010-12-01 16:01:00,1.25,13777.0,United Kingdom
2306,536575,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:01:00,2.55,13777.0,United Kingdom
2308,536575,22095,LADS ONLY TISSUE BOX,252,2010-12-01 16:01:00,1.25,13777.0,United Kingdom
2309,536576,22041,"RECORD FRAME 7"" SINGLE SIZE ",144,2010-12-01 16:11:00,2.1,13777.0,United Kingdom
2316,536576,35004C,SET OF 3 COLOURED  FLYING DUCKS,120,2010-12-01 16:11:00,4.65,13777.0,United Kingdom
2318,536576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-01 16:11:00,2.55,13777.0,United Kingdom
2322,536576,20971,PINK BLUE FELT CRAFT TRINKET BOX,144,2010-12-01 16:11:00,1.06,13777.0,United Kingdom
2326,536577,21232,STRAWBERRY CERAMIC TRINKET BOX,144,2010-12-01 16:13:00,1.25,13777.0,United Kingdom
2327,536577,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,144,2010-12-01 16:13:00,1.25,13777.0,United Kingdom
2337,536579,21232,STRAWBERRY CERAMIC TRINKET BOX,216,2010-12-01 16:16:00,1.06,13777.0,United Kingdom
2345,536581,85099B,JUMBO BAG RED RETROSPOT,200,2010-12-01 16:19:00,1.65,13777.0,United Kingdom
2363,536583,21156,RETROSPOT CHILDRENS APRON,120,2010-12-01 16:21:00,1.65,13777.0,United Kingdom
2364,536584,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,2010-12-01 16:22:00,2.95,13777.0,United Kingdom
3274,536617,72741,GRAND CHOCOLATECANDLE,144,2010-12-02 10:17:00,1.25,13941.0,United Kingdom
3280,536617,20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,108,2010-12-02 10:17:00,2.1,13941.0,United Kingdom
3306,536620,21215,IVORY PAPER CUP CAKE CASES ,120,2010-12-02 10:27:00,0.42,14135.0,United Kingdom
3307,536620,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-02 10:27:00,0.42,14135.0,United Kingdom
3308,536620,21977,PACK OF 60 PINK PAISLEY CAKE CASES,120,2010-12-02 10:27:00,0.42,14135.0,United Kingdom
3309,536620,84991,60 TEATIME FAIRY CAKE CASES,120,2010-12-02 10:27:00,0.42,14135.0,United Kingdom
3758,536673,40016,CHINESE DRAGON PAPER LANTERNS,144,2010-12-02 12:11:00,0.42,14060.0,United Kingdom
3913,536735,22659,LUNCH BOX I LOVE LONDON,128,2010-12-02 12:58:00,1.65,17381.0,United Kingdom
3914,536736,21703,BAG 125g SWIRLY MARBLES,192,2010-12-02 12:59:00,0.42,17381.0,United Kingdom
3915,536736,21790,VINTAGE SNAP CARDS,144,2010-12-02 12:59:00,0.72,17381.0,United Kingdom
3916,536736,21791,VINTAGE HEADS AND TAILS CARD GAME ,216,2010-12-02 12:59:00,1.06,17381.0,United Kingdom
3917,536736,22616,PACK OF 12 LONDON TISSUES ,600,2010-12-02 12:59:00,0.29,17381.0,United Kingdom
3918,536736,22555,PLASTERS IN TIN STRONGMAN,144,2010-12-02 12:59:00,1.65,17381.0,United Kingdom
4335,536763,85114A,BLACK ENCHANTED FOREST PLACEMAT,120,2010-12-02 14:42:00,1.45,17685.0,United Kingdom
4440,536783,22492,MINI PAINT SET VINTAGE ,144,2010-12-02 15:19:00,0.55,15061.0,United Kingdom
4441,536783,22467,GUMBALL COAT RACK,108,2010-12-02 15:19:00,2.1,15061.0,United Kingdom
4451,536783,21506,"FANCY FONT BIRTHDAY CARD, ",108,2010-12-02 15:19:00,0.36,15061.0,United Kingdom
4453,536783,21499,BLUE POLKADOT WRAP,200,2010-12-02 15:19:00,0.34,15061.0,United Kingdom
4454,536783,21498,RED RETROSPOT WRAP ,200,2010-12-02 15:19:00,0.34,15061.0,United Kingdom
4455,536783,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-02 15:19:00,0.42,15061.0,United Kingdom
4458,536783,16237,SLEEPING CAT ERASERS,270,2010-12-02 15:19:00,0.16,15061.0,United Kingdom
4464,536783,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,2010-12-02 15:19:00,1.88,15061.0,United Kingdom
4465,536783,71459,HANGING JAM JAR T-LIGHT HOLDER,144,2010-12-02 15:19:00,0.72,15061.0,United Kingdom
4479,536784,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,240,2010-12-02 15:20:00,1.88,15061.0,United Kingdom
4498,536784,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-02 15:20:00,0.42,15061.0,United Kingdom
4502,536785,84946,ANTIQUE SILVER TEA GLASS ETCHED,216,2010-12-02 15:22:00,1.06,15061.0,United Kingdom
4503,536785,84879,ASSORTED COLOUR BIRD ORNAMENT,320,2010-12-02 15:22:00,1.45,15061.0,United Kingdom
4504,536785,22659,LUNCH BOX I LOVE LONDON,128,2010-12-02 15:22:00,1.65,15061.0,United Kingdom
4505,536785,22423,REGENCY CAKESTAND 3 TIER,144,2010-12-02 15:22:00,10.95,15061.0,United Kingdom
4850,536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,2010-12-02 16:48:00,0.55,15299.0,United Kingdom
4851,536810,21833,CAMOUFLAGE LED TORCH,204,2010-12-02 16:50:00,1.49,15299.0,United Kingdom
4936,536824,85123A,WHITE HANGING HEART T-LIGHT HOLDER,160,2010-12-02 17:24:00,2.55,13798.0,United Kingdom
4945,536830,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,2880,2010-12-02 17:38:00,0.18,16754.0,United Kingdom
4946,536830,21915,RED  HARMONICA IN BOX ,1400,2010-12-02 17:38:00,1.06,16754.0,United Kingdom
5047,536839,84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,288,2010-12-02 18:25:00,0.21,15093.0,United Kingdom
5062,536839,22585,PACK OF 6 BIRDY GIFT TAGS,144,2010-12-02 18:25:00,1.06,15093.0,United Kingdom
6605,536968,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,120,2010-12-03 13:09:00,2.75,16013.0,United Kingdom
6606,536969,71477,COLOUR GLASS. STAR T-LIGHT HOLDER,192,2010-12-03 13:10:00,2.75,16013.0,United Kingdom
6607,536970,22423,REGENCY CAKESTAND 3 TIER,120,2010-12-03 13:12:00,10.95,17949.0,United Kingdom
6945,536982,84029E,RED WOOLLY HOTTIE WHITE HEART.,108,2010-12-03 14:27:00,8.47,,United Kingdom
7191,536999,21421,,110,2010-12-03 15:32:00,0.0,,United Kingdom
7441,537040,84949,SILVER HANGING T-LIGHT HOLDER,144,2010-12-05 10:27:00,1.45,13089.0,United Kingdom
7747,537053,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,2010-12-05 11:38:00,2.1,16168.0,United Kingdom
8162,537127,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-05 12:13:00,2.55,13831.0,United Kingdom
9743,537214,21094,SET/6 RED SPOTTY PAPER PLATES,192,2010-12-05 15:35:00,0.64,16422.0,United Kingdom
9745,537214,17003,BROCADE RING PURSE ,720,2010-12-05 15:35:00,0.16,16422.0,United Kingdom
9749,537214,20975,12 PENCILS SMALL TUBE RED RETROSPOT,144,2010-12-05 15:35:00,0.65,16422.0,United Kingdom
9752,537214,21121,SET/10 RED POLKADOT PARTY CANDLES,288,2010-12-05 15:35:00,1.06,16422.0,United Kingdom
9753,537214,21122,SET/10 PINK POLKADOT PARTY CANDLES,288,2010-12-05 15:35:00,1.06,16422.0,United Kingdom
10156,537227,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-06 08:42:00,0.42,17677.0,United Kingdom
10205,537235,22622,BOX OF VINTAGE ALPHABET BLOCKS,156,2010-12-06 09:45:00,8.5,17381.0,United Kingdom
10206,537235,22536,MAGIC DRAWING SLATE PURDEY,480,2010-12-06 09:45:00,0.36,17381.0,United Kingdom
10207,537235,21791,VINTAGE HEADS AND TAILS CARD GAME ,288,2010-12-06 09:45:00,1.06,17381.0,United Kingdom
10208,537235,21889,WOODEN BOX OF DOMINOES,216,2010-12-06 09:45:00,1.06,17381.0,United Kingdom
10209,537235,22659,LUNCH BOX I LOVE LONDON,324,2010-12-06 09:45:00,1.65,17381.0,United Kingdom
11466,537244,21791,VINTAGE HEADS AND TAILS CARD GAME ,144,2010-12-06 10:20:00,1.06,17674.0,United Kingdom
11626,537256,21137,BLACK RECORD COVER FRAME,480,2010-12-06 11:06:00,3.39,16210.0,United Kingdom
11924,537350,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,192,2010-12-06 12:23:00,0.72,14708.0,United Kingdom
12015,537362,17003,BROCADE RING PURSE ,144,2010-12-06 12:34:00,0.21,17596.0,United Kingdom
13263,537430,85215,,120,2010-12-06 16:05:00,0.0,,United Kingdom
14067,537456,22469,HEART OF WICKER SMALL,402,2010-12-07 09:43:00,1.93,17450.0,United Kingdom
14068,537456,22470,HEART OF WICKER LARGE,378,2010-12-07 09:43:00,3.21,17450.0,United Kingdom
14086,537457,84879,ASSORTED COLOUR BIRD ORNAMENT,160,2010-12-07 09:51:00,1.45,17511.0,United Kingdom
14112,537460,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,2010-12-07 10:04:00,2.55,17616.0,United Kingdom
14113,537461,79321,CHILLI LIGHTS,120,2010-12-07 10:06:00,4.25,15649.0,United Kingdom
14269,537476,22379,RECYCLING BAG RETROSPOT ,150,2010-12-07 11:26:00,1.85,15838.0,United Kingdom
14271,537476,85099B,JUMBO BAG RED RETROSPOT,300,2010-12-07 11:26:00,1.65,15838.0,United Kingdom
14322,537509,22867,HAND WARMER BIRD DESIGN,192,2010-12-07 11:41:00,1.85,13756.0,United Kingdom
14440,537592,22585,PACK OF 6 BIRDY GIFT TAGS,144,2010-12-07 12:18:00,1.06,17491.0,United Kingdom
14773,537618,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,120,2010-12-07 13:50:00,1.88,15061.0,United Kingdom
14774,537618,71459,HANGING JAM JAR T-LIGHT HOLDER,192,2010-12-07 13:50:00,0.72,15061.0,United Kingdom
14785,537618,22075,6 RIBBONS ELEGANT CHRISTMAS ,144,2010-12-07 13:50:00,1.45,15061.0,United Kingdom
15655,537640,21212,PACK OF 72 RETROSPOT CAKE CASES,104,2010-12-07 15:31:00,2.13,,United Kingdom
15708,537640,22355,CHARLOTTE BAG SUKI DESIGN,258,2010-12-07 15:31:00,2.51,,United Kingdom
16425,537657,82484,WOOD BLACK BOARD ANT WHITE FINISH,408,2010-12-07 16:42:00,4.78,18102.0,United Kingdom
16427,537657,22189,CREAM HEART CARD HOLDER,972,2010-12-07 16:42:00,2.31,18102.0,United Kingdom
16428,537657,22188,BLACK HEART CARD HOLDER,972,2010-12-07 16:42:00,2.31,18102.0,United Kingdom
16429,537657,21623,VINTAGE UNION JACK MEMOBOARD,408,2010-12-07 16:42:00,6.38,18102.0,United Kingdom
16434,537659,22507,MEMO BOARD RETROSPOT  DESIGN,208,2010-12-07 16:43:00,3.86,18102.0,United Kingdom
16435,537659,22189,CREAM HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102.0,United Kingdom
16436,537659,22188,BLACK HEART CARD HOLDER,1008,2010-12-07 16:43:00,2.31,18102.0,United Kingdom
16438,537659,21623,VINTAGE UNION JACK MEMOBOARD,600,2010-12-07 16:43:00,6.38,18102.0,United Kingdom
16439,537659,85064,CREAM SWEETHEART LETTER RACK,160,2010-12-07 16:43:00,3.88,18102.0,United Kingdom
16440,537659,82484,WOOD BLACK BOARD ANT WHITE FINISH,600,2010-12-07 16:43:00,4.78,18102.0,United Kingdom
16985,537667,22158,3 HEARTS HANGING DECORATION RUSTIC,128,2010-12-08 08:12:00,2.55,17870.0,United Kingdom
17305,537698,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,384,2010-12-08 10:51:00,0.72,13199.0,United Kingdom
18014,537793,21928,JUMBO BAG SCANDINAVIAN PAISLEY,200,2010-12-08 12:57:00,1.65,15032.0,United Kingdom
18015,537793,85099C,JUMBO  BAG BAROQUE BLACK WHITE,200,2010-12-08 12:57:00,1.65,15032.0,United Kingdom
18016,537793,22386,JUMBO BAG PINK POLKADOT,200,2010-12-08 12:57:00,1.65,15032.0,United Kingdom
18022,537793,20713,JUMBO BAG OWLS,200,2010-12-08 12:57:00,1.65,15032.0,United Kingdom
18120,537796,21068,VINTAGE BILLBOARD LOVE/HATE MUG,216,2010-12-08 13:03:00,1.06,18061.0,United Kingdom
19104,537833,51008,AFGHAN SLIPPER SOCK PAIR,200,2010-12-08 14:53:00,2.95,13270.0,United Kingdom
19109,537836,21790,VINTAGE SNAP CARDS,144,2010-12-08 14:58:00,0.72,14866.0,United Kingdom
19149,537841,16014,SMALL CHINESE STYLE SCISSOR,1000,2010-12-08 15:10:00,0.32,13848.0,United Kingdom
19228,537848,84050,PINK HEART SHAPE EGG FRYING PAN,144,2010-12-08 15:35:00,1.25,13777.0,United Kingdom
