"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AQS","040139997","1","1.4","ppm","16","JLG SUPERSITE","19","79.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/02/2025","AQS","040139997","1","1.1","ppm","13","JLG SUPERSITE","13","54.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/03/2025","AQS","040139997","1","1.3","ppm","15","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/04/2025","AQS","040139997","1","1.4","ppm","16","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/05/2025","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/06/2025","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/07/2025","AQS","040139997","1","1.1","ppm","13","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/08/2025","AQS","040139997","1","0.2","ppm","2","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/09/2025","AQS","040139997","1","0.6","ppm","7","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/10/2025","AQS","040139997","1","0.6","ppm","7","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/11/2025","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/12/2025","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/13/2025","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/14/2025","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/15/2025","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/16/2025","AQS","040139997","1","0.7","ppm","8","JLG SUPERSITE","11","46.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/17/2025","AQS","040139997","1","0.9","ppm","10","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/18/2025","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/19/2025","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/20/2025","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/21/2025","AQS","040139997","1","0.8","ppm","9","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/22/2025","AQS","040139997","1","1","ppm","11","JLG SUPERSITE","16","67.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
"01/23/2025","AQS","040139997","1","1.1","ppm","13","JLG SUPERSITE","24","100.0000","42101","Carbon monoxide","593","38060","Phoenix-Mesa-Scottsdale, AZ","04","Arizona","013","Maricopa","33.503833","-112.095767"
